Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,2.916000,2.916000,2.782000,2.884000,2.884000,0
2022-07-03,null,null,null,null,null,null
2022-07-04,null,null,null,null,null,null
2022-07-05,2.864000,2.864000,2.774000,2.815000,2.815000,0
2022-07-06,2.778000,2.961000,2.735000,2.951000,2.951000,0
2022-07-07,2.986000,3.068000,2.976000,3.054000,3.054000,0
2022-07-08,3.020000,3.159000,3.013000,3.142000,3.142000,0
2022-07-10,null,null,null,null,null,null
2022-07-11,3.091000,3.091000,3.013000,3.050000,3.050000,0
2022-07-12,2.991000,3.026000,2.959000,3.016000,3.016000,0
2022-07-13,3.006000,3.154000,2.969000,3.019000,3.019000,0
2022-07-14,3.063000,3.156000,3.050000,3.063000,3.063000,0
2022-07-15,3.038000,3.087000,3.004000,3.051000,3.051000,0
2022-07-17,null,null,null,null,null,null
2022-07-18,3.066000,3.131000,3.066000,3.070000,3.070000,0
2022-07-19,3.097000,3.160000,3.089000,3.150000,3.150000,0
2022-07-20,3.097000,3.179000,3.071000,3.178000,3.178000,0
2022-07-21,3.210000,3.212000,3.010000,3.010000,3.010000,0
2022-07-22,2.894000,2.919000,2.811000,2.873000,2.873000,0
2022-07-24,null,null,null,null,null,null
2022-07-25,2.887000,2.919000,2.880000,2.900000,2.900000,0
2022-07-26,2.819000,2.888000,2.797000,2.885000,2.885000,0
2022-07-27,2.872000,2.892000,2.792000,2.797000,2.797000,0
2022-07-28,2.809000,2.824000,2.653000,2.703000,2.703000,0
2022-07-29,2.737000,2.765000,2.658000,2.695000,2.695000,0
2022-07-31,null,null,null,null,null,null
2022-08-01,2.679000,2.718000,2.637000,2.668000,2.668000,0
2022-08-02,2.617000,2.872000,2.584000,2.862000,2.862000,0
2022-08-03,2.887000,2.974000,2.858000,2.872000,2.872000,0
2022-08-04,2.797000,2.841000,2.765000,2.774000,2.774000,0
2022-08-05,2.802000,2.988000,2.796000,2.976000,2.976000,0
2022-08-07,null,null,null,null,null,null
2022-08-08,2.930000,2.954000,2.899000,2.911000,2.911000,0
2022-08-09,2.973000,2.987000,2.944000,2.980000,2.980000,0
2022-08-10,2.994000,3.045000,2.799000,2.923000,2.923000,0
2022-08-11,2.864000,3.002000,2.852000,2.988000,2.988000,0
2022-08-12,2.949000,2.996000,2.932000,2.977000,2.977000,0
2022-08-14,null,null,null,null,null,null
2022-08-15,2.927000,2.927000,2.878000,2.913000,2.913000,0
2022-08-16,2.924000,2.984000,2.922000,2.958000,2.958000,0
2022-08-17,3.060000,3.084000,3.015000,3.048000,3.048000,0
2022-08-18,3.012000,3.044000,2.977000,3.031000,3.031000,0
2022-08-19,3.102000,3.126000,3.073000,3.116000,3.116000,0
2022-08-21,null,null,null,null,null,null
2022-08-22,3.114000,3.184000,3.099000,3.179000,3.179000,0
2022-08-23,3.179000,3.207000,3.099000,3.181000,3.181000,0
2022-08-24,3.169000,3.256000,3.169000,3.231000,3.231000,0
2022-08-25,3.203000,3.222000,3.151000,3.157000,3.157000,0
2022-08-26,3.188000,3.229000,3.137000,3.195000,3.195000,0
2022-08-28,null,null,null,null,null,null
2022-08-29,3.263000,3.275000,3.241000,3.263000,3.263000,0
2022-08-30,3.227000,3.311000,3.222000,3.277000,3.277000,0
2022-08-31,3.275000,3.301000,3.256000,3.284000,3.284000,0
2022-09-01,3.353000,3.442000,3.353000,3.406000,3.406000,0
2022-09-02,3.384000,3.405000,3.269000,3.298000,3.298000,0
2022-09-04,null,null,null,null,null,null
2022-09-05,null,null,null,null,null,null
2022-09-06,3.372000,3.462000,3.372000,3.443000,3.443000,0
2022-09-07,3.426000,3.436000,3.353000,3.360000,3.360000,0
2022-09-08,3.326000,3.414000,3.310000,3.397000,3.397000,0
2022-09-09,3.381000,3.447000,3.359000,3.446000,3.446000,0
2022-09-11,null,null,null,null,null,null
2022-09-12,3.388000,3.461000,3.383000,3.458000,3.458000,0
2022-09-13,3.392000,3.621000,3.383000,3.589000,3.589000,0
2022-09-14,3.642000,3.658000,3.563000,3.595000,3.595000,0
2022-09-15,3.676000,3.683000,3.618000,3.674000,3.674000,0
